step,time_elapsed,mean_reward,std_reward
3100000,19706.53,-0.766,0.651
3110000,20051.846,-0.723,0.699
3120000,20217.378,-0.733,0.688
3130000,20383.638,-0.69,0.731
3140000,20548.714,-0.726,0.695
3150000,20714.616,-0.716,0.705
3160000,20880.014,-0.751,0.668
3170000,21045.168,-0.73,0.691
3180000,21209.626,-0.729,0.692
3190000,21372.626,-0.727,0.694
3200000,21536.535,-0.696,0.725
3210000,21885.129,-0.713,0.708
3220000,22046.376,-0.714,0.708
3230000,22210.729,-0.707,0.714
3240000,22379.492,-0.723,0.698
3250000,22546.76,-0.734,0.686
3260000,22712.185,-0.735,0.686
3270000,22879.238,-0.73,0.691
3280000,23047.144,-0.689,0.731
3290000,23214.288,-0.687,0.733
3300000,23379.073,-0.705,0.716
3310000,23725.526,-0.686,0.734
3320000,23887.663,-0.719,0.702
3330000,24047.293,-0.713,0.708
3340000,24208.339,-0.719,0.702
3350000,24370.387,-0.736,0.685
3360000,24532.658,-0.7,0.721
3370000,24694.578,-0.707,0.714
3380000,24856.686,-0.723,0.698
3390000,25021.98,-0.726,0.695
3400000,25188.676,-0.719,0.702
3410000,25534.519,-0.729,0.691
3420000,25699.781,-0.689,0.732
3430000,25865.358,-0.712,0.709
3440000,26028.92,-0.718,0.703
3450000,26190.606,-0.698,0.722
3460000,26353.234,-0.73,0.69
3470000,26514.913,-0.757,0.661
3480000,26677.479,-0.731,0.69
3490000,26839.315,-0.716,0.705
3500000,27001.649,-0.735,0.686
3510000,27341.53,-0.722,0.699
3520000,27503.459,-0.726,0.694
3530000,27666.992,-0.73,0.691
3540000,27830.448,-0.74,0.68
3550000,27993.507,-0.734,0.686
3560000,28155.736,-0.742,0.679
3570000,28319.134,-0.704,0.717
3580000,28484.018,-0.699,0.722
3590000,28647.62,-0.696,0.725
3600000,28811.696,-0.723,0.698
3610000,29157.415,-0.736,0.684
3620000,29320.604,-0.697,0.724
3630000,29484.077,-0.702,0.719
3640000,29646.962,-0.733,0.688
3650000,29810.406,-0.75,0.669
3660000,29974.031,-0.751,0.668
3670000,30138.626,-0.7,0.721
3680000,30302.74,-0.756,0.663
3690000,30466.866,-0.718,0.703
3700000,30631.686,-0.732,0.689
3710000,30975.082,-0.72,0.701
3720000,31137.435,-0.732,0.688
3730000,31299.77,-0.724,0.696
3740000,31461.328,-0.742,0.678
3750000,31623.52,-0.74,0.68
3760000,31788.271,-0.718,0.703
3770000,31950.267,-0.71,0.711
3780000,32112.953,-0.739,0.681
3790000,32276.893,-0.761,0.657
3800000,32440.721,-0.736,0.684
3810000,32783.738,-0.742,0.678
3820000,32948.043,-0.719,0.702
3830000,33111.585,-0.68,0.74
3840000,33277.85,-0.753,0.666
3850000,33454.67,-0.725,0.696
3860000,33625.707,-0.713,0.708
3870000,33793.415,-0.75,0.669
3880000,33963.253,-0.714,0.707
3890000,34145.289,-0.719,0.702
3900000,34311.966,-0.731,0.689
3910000,34699.93,-0.68,0.739
3920000,34867.84,-0.732,0.688
3930000,35029.264,-0.752,0.667
3940000,35194.523,-0.732,0.689
3950000,35359.871,-0.739,0.681
3960000,35525.595,-0.737,0.683
3970000,35691.38,-0.741,0.679
3980000,35857.081,-0.723,0.697
3990000,36027.057,-0.727,0.694
4000000,36195.675,-0.753,0.666
4010000,36579.568,-0.74,0.68
4020000,36761.64,-0.711,0.71
4030000,36934.016,-0.68,0.739
4040000,37098.236,-0.702,0.719
4050000,37267.536,-0.714,0.707
4060000,37438.806,-0.731,0.69
4070000,37608.253,-0.692,0.729
4080000,37790.839,-0.741,0.679
4090000,37969.383,-0.724,0.697
4100000,38138.778,-0.686,0.734
4110000,38521.579,-0.696,0.724
4120000,38690.657,-0.703,0.718
4130000,38870.455,-0.706,0.715
4140000,39044.639,-0.739,0.682
4150000,39220.739,-0.706,0.715
4160000,39394.102,-0.727,0.694
4170000,39570.424,-0.723,0.698
4180000,39747.04,-0.69,0.73
4190000,39929.785,-0.701,0.72
4200000,40112.434,-0.718,0.703
4210000,40500.451,-0.716,0.705
4220000,40669.984,-0.701,0.72
4230000,40844.69,-0.745,0.674
4240000,41019.591,-0.714,0.707
4250000,41201.047,-0.74,0.68
4260000,41388.373,-0.724,0.697
4270000,41575.765,-0.697,0.724
4280000,41763.074,-0.72,0.701
4290000,41950.906,-0.694,0.726
4300000,42119.229,-0.717,0.704
4310000,42498.515,-0.7,0.721
4320000,42679.287,-0.717,0.704
4330000,42857.4,-0.709,0.712
4340000,43031.28,-0.701,0.72
4350000,43212.014,-0.712,0.709
4360000,43380.195,-0.698,0.723
4370000,43550.095,-0.719,0.702
4380000,43718.428,-0.73,0.691
4390000,43887.792,-0.692,0.728
4400000,44057.466,-0.704,0.717
4410000,44432.684,-0.701,0.72
4420000,44606.7,-0.69,0.731
4430000,44779.981,-0.74,0.68
4440000,44945.07,-0.753,0.666
4450000,45110.729,-0.712,0.709
4460000,45277.798,-0.72,0.701
4470000,45447.34,-0.702,0.719
4480000,45614.472,-0.707,0.714
4490000,45781.405,-0.74,0.68
4500000,45943.396,-0.709,0.712
4510000,46304.556,-0.748,0.671
4520000,46467.306,-0.727,0.694
4530000,46628.63,-0.723,0.698
4540000,46787.355,-0.726,0.695
4550000,46945.525,-0.716,0.705
4560000,47104.374,-0.717,0.704
4570000,47266.386,-0.746,0.673
4580000,47431.496,-0.699,0.722
4590000,47598.378,-0.711,0.71
4600000,47763.861,-0.736,0.684
4610000,48122.599,-0.702,0.719
4620000,48284.217,-0.769,0.647
4630000,48445.522,-0.743,0.676
4640000,48609.037,-0.72,0.701
4650000,48776.243,-0.709,0.712
4660000,48939.714,-0.734,0.686
4670000,49103.098,-0.726,0.695
4680000,49266.42,-0.7,0.721
4690000,49429.491,-0.739,0.681
4700000,49593.875,-0.722,0.698
4710000,49941.874,-0.704,0.716
4720000,50109.493,-0.707,0.714
4730000,50277.79,-0.709,0.712
4740000,50446.121,-0.757,0.66
4750000,50614.417,-0.716,0.705
4760000,50783.318,-0.692,0.728
4770000,50951.547,-0.682,0.738
4780000,51119.206,-0.704,0.716
4790000,51287.236,-0.719,0.702
4800000,51455.862,-0.719,0.702
4810000,51809.446,-0.71,0.711
4820000,51977.894,-0.705,0.715
4830000,52146.042,-0.691,0.729
4840000,52313.867,-0.736,0.684
4850000,52481.774,-0.7,0.721
4860000,52649.878,-0.722,0.698
4870000,52818.602,-0.718,0.703
4880000,52986.27,-0.708,0.713
4890000,53154.248,-0.744,0.675
4900000,53322.04,-0.734,0.686
4910000,53675.004,-0.744,0.676
4920000,53843.233,-0.707,0.714
4930000,54012.323,-0.699,0.722
4940000,54180.473,-0.72,0.7
4950000,54349.438,-0.717,0.704
4960000,54517.794,-0.707,0.714
4970000,54686.506,-0.728,0.692
4980000,54855.622,-0.706,0.715
4990000,55024.578,-0.678,0.741
5000000,55193.205,-0.697,0.723
5010000,55548.691,-0.738,0.682
5020000,55716.429,-0.677,0.742
5030000,55885.163,-0.733,0.687
5040000,56053.943,-0.735,0.685
5050000,56222.187,-0.72,0.701
5060000,56390.851,-0.725,0.696
5070000,56559.175,-0.725,0.696
5080000,56727.731,-0.748,0.671
5090000,56895.892,-0.725,0.696
5100000,57064.782,-0.713,0.707
5110000,57419.97,-0.697,0.723
5120000,57587.847,-0.708,0.712
5130000,57755.77,-0.703,0.718
5140000,57924.372,-0.726,0.694
5150000,58092.312,-0.693,0.727
5160000,58259.922,-0.709,0.712
5170000,58427.84,-0.723,0.698
5180000,58595.536,-0.731,0.689
5190000,58763.667,-0.729,0.692
5200000,58931.853,-0.724,0.697
5210000,59288.319,-0.74,0.68
5220000,59456.361,-0.745,0.674
5230000,59624.876,-0.711,0.71
5240000,59792.66,-0.723,0.698
5250000,59961.222,-0.686,0.733
5260000,60129.264,-0.743,0.676
5270000,60296.972,-0.673,0.745
5280000,60465.372,-0.719,0.701
5290000,60633.244,-0.69,0.73
5300000,60801.629,-0.723,0.698
5310000,61157.673,-0.708,0.713
5320000,61325.782,-0.709,0.712
5330000,61493.829,-0.72,0.701
5340000,61662.051,-0.741,0.678
5350000,61830.006,-0.68,0.739
5360000,61998.436,-0.708,0.713
5370000,62167.512,-0.731,0.689
5380000,62337.945,-0.689,0.731
5390000,62508.472,-0.685,0.735
5400000,62677.282,-0.702,0.718
5410000,63033.386,-0.722,0.699
5420000,63201.391,-0.737,0.683
5430000,63368.799,-0.72,0.701
5440000,63536.979,-0.717,0.704
5450000,63704.456,-0.705,0.715
5460000,63872.275,-0.677,0.742
5470000,64040.675,-0.689,0.731
5480000,64210.706,-0.716,0.705
5490000,64379.168,-0.719,0.702
5500000,64548.074,-0.707,0.714
5510000,64905.098,-0.699,0.722
5520000,65072.842,-0.729,0.692
5530000,65240.793,-0.696,0.724
5540000,65409.203,-0.748,0.67
5550000,65577.336,-0.702,0.719
5560000,65745.755,-0.752,0.666
5570000,65914.029,-0.725,0.695
5580000,66082.621,-0.722,0.699
5590000,66251.043,-0.723,0.697
5600000,66420.856,-0.687,0.733
5610000,66778.979,-0.708,0.713
5620000,66946.581,-0.719,0.702
5630000,67114.665,-0.734,0.686
5640000,67283.205,-0.712,0.708
5650000,67451.443,-0.721,0.7
5660000,67619.999,-0.701,0.72
5670000,67788.644,-0.694,0.726
5680000,67957.21,-0.742,0.677
5690000,68125.44,-0.709,0.712
5700000,68294.589,-0.712,0.709
5710000,68652.047,-0.697,0.724
5720000,68819.918,-0.716,0.705
5730000,68989.049,-0.71,0.711
5740000,69156.666,-0.695,0.725
5750000,69324.918,-0.71,0.711
5760000,69493.465,-0.737,0.683
5770000,69661.34,-0.747,0.672
5780000,69830.273,-0.722,0.698
5790000,69998.863,-0.72,0.701
5800000,70167.29,-0.721,0.7
5810000,70524.407,-0.718,0.703
5820000,70692.374,-0.707,0.713
5830000,70862.069,-0.717,0.703
5840000,71030.281,-0.703,0.718
5850000,71199.094,-0.711,0.71
5860000,71366.761,-0.733,0.687
5870000,71533.99,-0.698,0.722
5880000,71702.452,-0.71,0.711
5890000,71871.874,-0.73,0.691
5900000,72039.928,-0.716,0.705
5910000,72397.268,-0.741,0.678
5920000,72565.031,-0.723,0.697
5930000,72732.723,-0.688,0.731
5940000,72901.611,-0.694,0.727
5950000,73070.491,-0.711,0.71
5960000,73238.649,-0.714,0.707
5970000,73406.606,-0.739,0.681
5980000,73574.857,-0.726,0.695
5990000,73743.056,-0.713,0.708
6000000,73911.649,-0.735,0.685
6010000,74268.795,-0.715,0.706
6020000,74436.57,-0.72,0.701
6030000,74605.029,-0.688,0.732
6040000,74773.222,-0.734,0.686
6050000,74942.218,-0.696,0.725
6060000,75110.513,-0.727,0.693
6070000,75279.71,-0.703,0.717
6080000,75447.749,-0.711,0.71
6090000,75616.488,-0.717,0.703
6100000,75784.718,-0.737,0.683
6110000,76142.792,-0.726,0.694
6120000,76310.199,-0.751,0.668
6130000,76478.655,-0.719,0.701
6140000,76646.991,-0.72,0.701
6150000,76815.418,-0.73,0.69
6160000,76984.628,-0.709,0.712
6170000,77153.323,-0.709,0.712
6180000,77322.109,-0.695,0.725
6190000,77491.12,-0.71,0.711
6200000,77659.619,-0.697,0.723
6210000,78018.321,-0.718,0.703
6220000,78186.196,-0.711,0.709
6230000,78354.664,-0.725,0.696
6240000,78523.807,-0.711,0.709
6250000,78692.511,-0.701,0.72
6260000,78859.973,-0.684,0.736
6270000,79029.379,-0.715,0.705
6280000,79197.485,-0.708,0.713
6290000,79365.231,-0.71,0.711
6300000,79533.505,-0.71,0.71
6310000,79883.614,-0.695,0.725
6320000,80046.287,-0.689,0.731
6330000,80210.068,-0.696,0.724
6340000,80373.56,-0.715,0.705
6350000,80537.176,-0.688,0.732
6360000,80700.74,-0.73,0.69
6370000,80864.328,-0.726,0.694
6380000,81027.709,-0.685,0.734
6390000,81191.915,-0.744,0.675
6400000,81354.935,-0.68,0.739
6410000,81706.517,-0.684,0.735
6420000,81869.548,-0.719,0.702
6430000,82032.945,-0.718,0.703
6440000,82196.239,-0.711,0.71
6450000,82359.853,-0.706,0.714
6460000,82523.066,-0.709,0.711
6470000,82686.617,-0.719,0.702
6480000,82849.936,-0.73,0.69
6490000,83013.227,-0.732,0.689
6500000,83176.429,-0.7,0.721
6510000,83529.111,-0.722,0.699
6520000,83692.622,-0.736,0.684
6530000,83855.543,-0.728,0.692
6540000,84019.096,-0.733,0.687
6550000,84182.426,-0.719,0.701
6560000,84346.073,-0.72,0.7
6570000,84510.078,-0.734,0.685
6580000,84673.993,-0.681,0.739
6590000,84837.522,-0.705,0.716
6600000,85001.206,-0.742,0.677
6610000,85351.464,-0.699,0.721
6620000,85514.926,-0.703,0.717
6630000,85678.264,-0.702,0.718
6640000,85841.787,-0.692,0.728
6650000,86005.431,-0.692,0.728
6660000,86168.727,-0.691,0.729
6670000,86332.518,-0.697,0.723
6680000,86496.021,-0.715,0.706
6690000,86659.936,-0.703,0.717
6700000,86823.188,-0.701,0.72
6710000,87174.996,-0.715,0.705
