step,time_elapsed,mean_reward,std_reward
3070000,1308.13,0.086,0.989
3080000,1330.383,0.186,0.965
3090000,1352.817,0.271,0.934
3100000,1375.696,0.164,0.968
3110000,1397.383,0.046,0.997
3120000,1436.161,0.016,0.995
3130000,1457.948,0.155,0.974
3140000,1479.607,0.204,0.955
3150000,1501.763,0.085,0.989
3160000,1523.211,0.267,0.94
3170000,1545.078,0.245,0.942
3180000,1569.178,0.291,0.943
3190000,1590.727,0.107,0.973
3200000,1612.416,0.193,0.965
3210000,1634.151,0.138,0.978
3220000,1672.175,0.264,0.938
3230000,1693.451,0.339,0.911
3240000,1714.622,0.313,0.916
3250000,1735.572,0.271,0.927
3260000,1756.701,0.278,0.936
3270000,1778.525,0.223,0.948
3280000,1799.919,0.192,0.967
3290000,1822.165,0.193,0.968
3300000,1843.853,0.241,0.951
3310000,1866.732,0.26,0.941
3320000,1909.831,0.314,0.928
3330000,1928.627,0.208,0.952
3340000,1952.398,0.264,0.94
3350000,1975.444,0.339,0.908
3360000,1999.733,0.263,0.942
3370000,2023.551,0.215,0.952
3380000,2047.161,0.357,0.889
3390000,2071.277,0.35,0.904
3400000,2094.695,0.373,0.893
3410000,2118.573,0.127,0.98
3420000,2142.481,0.241,0.947
3430000,2181.813,0.049,0.994
3440000,2202.907,0.297,0.936
3450000,2223.372,0.238,0.946
3460000,2244.408,0.194,0.962
3470000,2265.223,0.34,0.916
3480000,2286.265,0.076,0.983
3490000,2306.517,0.219,0.95
3500000,2327.243,0.276,0.938
3510000,2348.898,0.17,0.972
3520000,2369.205,0.099,0.99
3530000,2406.356,0.294,0.917
3540000,2426.977,0.174,0.97
3550000,2447.828,0.264,0.94
3560000,2470.442,0.098,0.988
3570000,2492.406,0.237,0.947
3580000,2513.845,0.239,0.946
3590000,2534.313,0.197,0.949
3600000,2557.181,0.237,0.956
3610000,2580.762,0.326,0.916
3620000,2604.426,0.145,0.972
3630000,2643.318,0.187,0.961
3640000,2664.101,0.287,0.935
3650000,2685.398,0.299,0.935
3660000,2706.994,0.249,0.94
3670000,2728.326,0.345,0.902
3680000,2749.116,0.262,0.931
3690000,2770.638,0.175,0.965
3700000,2791.476,0.186,0.973
3710000,2812.743,0.246,0.945
3720000,2833.618,0.151,0.979
3730000,2872.679,0.152,0.971
3740000,2892.355,0.274,0.936
3750000,2913.502,0.168,0.965
3760000,2935.949,0.251,0.944
3770000,2960.545,0.146,0.972
3780000,2982.066,0.144,0.973
3790000,3003.457,0.182,0.966
3800000,3025.125,0.18,0.966
3810000,3045.444,0.215,0.962
3820000,3066.711,0.316,0.921
3830000,3087.762,0.261,0.94
3840000,3124.872,0.193,0.96
3850000,3145.797,0.139,0.977
3860000,3167.125,0.251,0.937
3870000,3187.939,0.271,0.941
3880000,3209.637,0.028,0.99
3890000,3230.246,0.181,0.962
3900000,3251.266,0.391,0.889
3910000,3272.885,0.193,0.965
3920000,3294.182,0.297,0.924
3930000,3314.678,0.154,0.977
3940000,3352.441,0.278,0.933
3950000,3373.384,0.379,0.888
3960000,3394.659,0.232,0.955
3970000,3415.833,0.183,0.965
3980000,3436.787,0.21,0.956
3990000,3457.919,0.297,0.93
4010000,27.967,0.297,0.923
4020000,47.304,0.204,0.952
4030000,67.679,0.201,0.957
4040000,89.26,0.354,0.901
4050000,109.909,0.123,0.987
4060000,129.663,0.171,0.963
4070000,148.833,0.139,0.976
4080000,169.024,0.25,0.947
4090000,188.398,0.19,0.965
4100000,207.339,0.08,0.993
4110000,241.97,0.151,0.972
4120000,261.31,0.313,0.922
4130000,280.64,0.169,0.963
4140000,300.002,0.116,0.982
4150000,319.421,0.129,0.975
4160000,338.55,0.203,0.956
4170000,359.307,0.193,0.965
4180000,379.889,0.105,0.983
4190000,400.882,0.237,0.951
4200000,421.927,0.388,0.886
4210000,459.189,0.238,0.945
4220000,480.294,0.33,0.91
4230000,501.321,0.209,0.955
4240000,522.095,0.175,0.966
4250000,543.455,0.198,0.964
4260000,564.212,0.274,0.941
4270000,585.277,0.153,0.97
4280000,606.045,0.234,0.945
4290000,627.155,0.155,0.973
4300000,648.973,0.09,0.99
4310000,685.947,0.159,0.976
4320000,706.627,0.29,0.929
4330000,727.688,0.334,0.902
4340000,748.6,0.15,0.973
4350000,769.899,0.232,0.955
4360000,790.748,0.231,0.941
4370000,812.302,0.382,0.884
4380000,833.301,0.294,0.925
4390000,854.508,0.23,0.95
4400000,875.414,0.255,0.946
4410000,915.354,0.224,0.953
4420000,933.921,0.325,0.912
4430000,954.738,0.194,0.957
4440000,976.076,0.268,0.942
4450000,997.061,0.299,0.938
4460000,1017.867,0.244,0.946
4470000,1038.967,0.319,0.918
4480000,1060.363,0.334,0.908
4490000,1081.276,0.344,0.912
4500000,1102.575,0.262,0.934
4510000,1123.365,0.268,0.935
4520000,1160.989,0.316,0.926
4530000,1182.464,0.249,0.935
