step,time_elapsed,mean_reward,std_reward
286000,2480.975,-0.809,0.6
287000,2491.623,-0.787,0.628
288000,2503.185,-0.71,0.712
289000,2513.841,-0.763,0.656
290000,2523.82,-0.82,0.585
291000,2535.546,-0.772,0.645
292000,2546.643,-0.822,0.583
293000,2556.273,-0.816,0.591
294000,2567.188,-0.852,0.537
295000,2579.219,-0.803,0.608
296000,2589.984,-0.789,0.626
297000,2600.561,-0.789,0.626
298000,2611.431,-0.787,0.629
299000,2622.308,-0.866,0.515
300000,2632.818,-0.751,0.67
301000,2642.647,-0.765,0.654
302000,2653.236,-0.689,0.733
303000,2664.191,-0.799,0.614
304000,2676.115,-0.828,0.572
305000,2685.042,-0.733,0.69
306000,2696.876,-0.795,0.619
307000,2706.675,-0.895,0.462
308000,2716.746,-0.836,0.562
309000,2727.166,-0.827,0.575
310000,2739.655,-0.732,0.69
311000,2749.867,-0.774,0.645
312000,2760.464,-0.89,0.472
313000,2770.877,-0.795,0.617
314000,2781.469,-0.827,0.574
315000,2792.071,-0.813,0.595
316000,2803.154,-0.849,0.543
317000,2814.177,-0.762,0.659
318000,2824.484,-0.82,0.585
319000,2835.98,-0.733,0.69
320000,2846.9,-0.797,0.616
321000,2856.527,-0.78,0.636
322000,2868.819,-0.778,0.639
323000,2879.11,-0.77,0.648
324000,2890.005,-0.89,0.473
325000,2900.747,-0.811,0.598
326000,2911.702,-0.822,0.583
327000,2923.752,-0.81,0.597
328000,2932.743,-0.676,0.746
329000,2945.118,-0.691,0.73
330000,2955.597,-0.905,0.444
331000,2966.517,-0.734,0.689
332000,2977.241,-0.769,0.649
333000,2988.337,-0.749,0.673
334000,2999.304,-0.734,0.687
335000,3010.599,-0.648,0.769
336000,3021.948,-0.822,0.583
337000,3031.938,-0.88,0.49
338000,3042.987,-0.744,0.678
339000,3054.63,-0.757,0.664
340000,3064.654,-0.792,0.621
341000,3075.647,-0.723,0.7
342000,3086.491,-0.803,0.608
343000,3098.393,-0.882,0.487
344000,3109.497,-0.732,0.691
345000,3120.216,-0.769,0.651
346000,3129.587,-0.816,0.591
347000,3140.669,-0.749,0.672
348000,3152.88,-0.659,0.76
349000,3163.629,-0.695,0.727
350000,3174.377,-0.675,0.745
351000,3184.527,-0.725,0.697
352000,3194.539,-0.73,0.692
353000,3206.007,-0.795,0.62
354000,3217.093,-0.82,0.585
355000,3228.053,-0.689,0.732
356000,3239.163,-0.945,0.354
357000,3250.133,-0.852,0.538
358000,3259.838,-0.727,0.697
359000,3270.787,-0.807,0.603
360000,3281.481,-0.791,0.623
361000,3292.397,-0.789,0.626
362000,3303.002,-0.756,0.665
363000,3314.965,-0.805,0.606
364000,3324.51,-0.81,0.6
365000,3337.012,-0.709,0.713
366000,3346.525,-0.773,0.645
367000,3357.511,-0.923,0.408
368000,3369.055,-0.762,0.659
369000,3380.258,-0.741,0.682
370000,3390.372,-0.756,0.665
371000,3402.009,-0.752,0.671
372000,3412.64,-0.725,0.697
373000,3423.78,-0.659,0.761
374000,3433.728,-0.662,0.757
375000,3444.858,-0.787,0.628
376000,3457.277,-0.799,0.612
377000,3468.039,-0.734,0.688
378000,3479.026,-0.689,0.734
379000,3489.976,-0.813,0.595
380000,3501.306,-0.778,0.641
381000,3511.675,-0.832,0.568
382000,3522.055,-0.643,0.773
383000,3531.989,-0.823,0.579
384000,3544.139,-0.644,0.771
385000,3554.393,-0.737,0.686
386000,3565.485,-0.771,0.648
387000,3577.049,-0.725,0.697
388000,3587.055,-0.699,0.723
389000,3597.462,-0.856,0.531
390000,3609.028,-0.654,0.763
391000,3619.31,-0.782,0.634
392000,3631.689,-0.682,0.74
393000,3642.227,-0.734,0.688
394000,3652.317,-0.684,0.737
395000,3664.335,-0.601,0.806
396000,3675.457,-0.807,0.603
397000,3686.417,-0.643,0.772
398000,3697.251,-0.811,0.598
399000,3708.201,-0.764,0.656
400000,3719.057,-0.679,0.743
401000,3730.068,-0.809,0.601
402000,3740.877,-0.874,0.502
403000,3752.068,-0.744,0.679
404000,3762.467,-0.818,0.588
405000,3773.131,-0.836,0.562
406000,3785.164,-0.731,0.691
407000,3795.555,-0.65,0.766
408000,3806.459,-0.807,0.603
409000,3816.81,-0.842,0.553
410000,3827.804,-0.545,0.844
411000,3837.52,-0.744,0.677
412000,3848.847,-0.805,0.605
413000,3858.642,-0.801,0.611
414000,3867.877,-0.728,0.694
415000,3879.122,-0.751,0.669
416000,3888.838,-0.761,0.659
417000,3898.503,-0.78,0.636
418000,3909.789,-0.654,0.764
419000,3918.505,-0.689,0.732
420000,3929.119,-0.771,0.647
421000,3940.402,-0.623,0.789
422000,3949.704,-0.768,0.651
423000,3961.118,-0.784,0.632
424000,3970.619,-0.616,0.795
425000,3981.63,-0.813,0.593
426000,3990.688,-0.725,0.697
427000,4001.282,-0.797,0.614
428000,4010.929,-0.765,0.653
429000,4020.616,-0.649,0.769
430000,4031.485,-0.755,0.664
431000,4042.429,-0.767,0.651
432000,4051.784,-0.636,0.779
433000,4062.181,-0.697,0.724
434000,4071.958,-0.725,0.697
435000,4083.145,-0.768,0.651
436000,4092.849,-0.747,0.674
437000,4103.708,-0.772,0.646
438000,4112.832,-0.78,0.636
439000,4123.227,-0.753,0.666
440000,4135.008,-0.806,0.603
441000,4145.868,-0.776,0.64
442000,4154.546,-0.707,0.715
443000,4165.458,-0.808,0.6
444000,4175.188,-0.765,0.653
445000,4187.171,-0.839,0.558
446000,4196.821,-0.677,0.743
447000,4208.141,-0.76,0.659
448000,4219.759,-0.815,0.591
449000,4230.824,-0.747,0.676
450000,4241.162,-0.855,0.534
451000,4251.341,-0.666,0.753
452000,4262.668,-0.774,0.642
453000,4274.198,-0.792,0.621
454000,4284.559,-0.761,0.659
455000,4295.878,-0.789,0.624
456000,4306.154,-0.724,0.701
457000,4318.04,-0.81,0.598
458000,4328.13,-0.65,0.767
459000,4340.545,-0.801,0.609
460000,4350.481,-0.712,0.711
461000,4360.954,-0.723,0.7
462000,4372.103,-0.755,0.664
463000,4382.856,-0.761,0.659
464000,4394.162,-0.695,0.727
465000,4406.251,-0.616,0.795
466000,4416.784,-0.776,0.641
467000,4427.129,-0.805,0.605
468000,4437.6,-0.797,0.616
469000,4448.805,-0.702,0.719
470000,4460.64,-0.641,0.775
471000,4471.678,-0.707,0.714
472000,4481.786,-0.702,0.721
473000,4493.911,-0.823,0.58
474000,4504.446,-0.698,0.725
475000,4514.418,-0.796,0.616
476000,4526.806,-0.704,0.719
477000,4537.428,-0.737,0.686
478000,4548.038,-0.797,0.616
479000,4559.265,-0.804,0.605
480000,4568.888,-0.772,0.646
481000,4581.55,-0.643,0.774
482000,4592.342,-0.715,0.708
483000,4602.748,-0.65,0.767
484000,4612.775,-0.843,0.55
485000,4625.581,-0.64,0.776
486000,4635.82,-0.749,0.671
487000,4645.51,-0.659,0.759
488000,4657.596,-0.733,0.69
489000,4669.148,-0.727,0.695
490000,4680.17,-0.866,0.514
